objectid,title,format,filename,subject
1,(Old) St. Peter’s Basilica,image/jpeg,01.jpg,plan
2,(Old) St. Peter’s Basilica,image/jpeg,02.jpg,plan
3,(Old) St. Peter’s Basilica,image/jpeg,03.jpg,interior (reconstruction drawing)
4,(Smaller) Temple of Themis,image/jpeg,04.jpg,elevation (reconstruction drawing)
5,Abbey Church of Klosterneuburg,image/jpeg,05.jpg,plan
6,Abbey Church of Maria Laach,image/jpeg,06.jpg,east elevation
7,Abbey Church of Saint-Savin-sur-Gartempe,image/jpeg,07.jpg,plan
8,Abbey Church of St. Michael’s,image/jpeg,08.jpg,plan
9,"Al-Dier (”the monastery”) gateway, Petra (Arabia Petraea)",image/jpeg,09.jpg,"Facade of Rock-cut Tomb at Petra, El Deir."
10,Amiens Cathedral,image/jpeg,10.jpg,transverse section
11,Amiens Cathedral,image/jpeg,11.jpg,plan
12,Angoulême Cathedral,image/jpeg,12.jpg,
13,Ani Cathedral (Buyuk Katedra),image/jpeg,13.jpg,exterior view
14,"Apadana of Darius and Xerxes, Persepolis",image/jpeg,14.jpg,detail of double bull capital
15,Apollo Belvedere,image/jpeg,15.jpg,"detail, head"
16,Arch of Constantine,image/jpeg,16.jpg,view from south
