objectid,title,format,filename,subject,latitude,longitude,source
1,(Old) St. Peter’s Basilica,image/jpeg,01.jpg,plan,41.9022624730493,12.4543873164585,"Lübke, Wilhelm. Outlines of the History of Art. A new translation from the seventh German edition, edited by Clarence Cook. New York: Dodd, Mead, and Company, 1881. Volume I."
2,(Old) St. Peter’s Basilica,image/jpeg,02.jpg,plan,41.9022624730493,12.4543873164585,"Architecture, Sculpture, and the Industrial Arts Among the Nations of Antiquity / a series of illustrations arranged chronologically, and forming an atlas, to be used in connection with any work on the history of art. Authorized American edition, published under the supervision of S. R. Koehler. Boston: L. Prang and Company, 1879. Series II."
3,(Old) St. Peter’s Basilica,image/jpeg,03.jpg,interior (reconstruction drawing),41.9022624730493,12.4543873164585,"Architecture, Sculpture, and the Industrial Arts Among the Nations of Antiquity / a series of illustrations arranged chronologically, and forming an atlas, to be used in connection with any work on the history of art. Authorized American edition, published under the supervision of S. R. Koehler. Boston: L. Prang and Company, 1879. Series II."
4,(Smaller) Temple of Themis,image/jpeg,04.jpg,elevation (reconstruction drawing),37.9707589677751,23.72664341298,"Architecture, Sculpture, and the Industrial Arts Among the Nations of Antiquity / a series of illustrations arranged chronologically, and forming an atlas, to be used in connection with any work on the history of art. Authorized American edition, published under the supervision of S. R. Koehler. Boston: L. Prang and Company, 1879. Series I."
5,Abbey Church of Klosterneuburg,image/jpeg,05.jpg,plan,48.307126272014,16.3259650467926,"Michel, André. Histoire de l’Art / depuis les premiers temps chrétiens jusqu’a nos jours. Paris: Librairie Armand Colin, 1905. Tome I, Deuxieme partie."
6,Abbey Church of Maria Laach,image/jpeg,06.jpg,east elevation,50.4016654672446,7.25290732521077,"Architecture, Sculpture, and the Industrial Arts Among the Nations of Antiquity / a series of illustrations arranged chronologically, and forming an atlas, to be used in connection with any work on the history of art. Authorized American edition, published under the supervision of S. R. Koehler. Boston: L. Prang and Company, 1879. Series II."
7,Abbey Church of Saint-Savin-sur-Gartempe,image/jpeg,07.jpg,plan,46.5647295313093,0.86600496205694,"Michel, André. Histoire de l’Art / depuis les premiers temps chrétiens jusqu’a nos jours. Paris: Librairie Armand Colin, 1905. Tome I, Deuxieme partie."
8,Abbey Church of St. Michael’s,image/jpeg,08.jpg,plan,52.1528143963786,9.94337502987524,"Architecture, Sculpture, and the Industrial Arts Among the Nations of Antiquity / a series of illustrations arranged chronologically, and forming an atlas, to be used in connection with any work on the history of art. Authorized American edition, published under the supervision of S. R. Koehler. Boston: L. Prang and Company, 1879. Series II."
9,"Al-Dier (”the monastery”) gateway, Petra (Arabia Petraea)",image/jpeg,09.jpg,"Facade of Rock-cut Tomb at Petra, El Deir.",30.3381474060386,35.4310958573333,"Lübke, Wilhelm. Outlines of the History of Art. A new translation from the seventh German edition, edited by Clarence Cook. New York: Dodd, Mead, and Company, 1881. Volume I."
10,Amiens Cathedral,image/jpeg,10.jpg,transverse section,49.894562954118,2.30212319902171,"Fletcher, Banister. A History of Architecture on the Comparative Method. Sixth edition, rewritten and enlarged. New York: Charles Scribner’s Sons, 1921."
11,Amiens Cathedral,image/jpeg,11.jpg,plan,49.894562954118,2.30212319902171,"Lübke, Wilhelm. Outlines of the History of Art. A new translation from the seventh German edition, edited by Clarence Cook. New York: Dodd, Mead, and Company, 1881. Volume II."
12,Angoulême Cathedral,image/jpeg,12.jpg,,45.6489395571899,0.151712812662891,"Fletcher, Banister. A History of Architecture on the Comparative Method. Sixth edition, rewritten and enlarged. New York: Charles Scribner’s Sons, 1921."
13,Ani Cathedral (Buyuk Katedra),image/jpeg,13.jpg,exterior view,40.5061989932531,43.5730094805918,"Lübke, Wilhelm. Outlines of the History of Art. A new translation from the seventh German edition, edited by Clarence Cook. New York: Dodd, Mead, and Company, 1881. Volume I."
14,"Apadana of Darius and Xerxes, Persepolis",image/jpeg,14.jpg,detail of double bull capital,29.9351525791773,52.8895144140614,"Fletcher, Banister. A History of Architecture on the Comparative Method. Sixth edition, rewritten and enlarged. New York: Charles Scribner’s Sons, 1921."
15,Apollo Belvedere,image/jpeg,15.jpg,"detail, head",40.7793471932682,-73.9632869184521,"Architecture, Sculpture, and the Industrial Arts Among the Nations of Antiquity / a series of illustrations arranged chronologically, and forming an atlas, to be used in connection with any work on the history of art. Authorized American edition, published under the supervision of S. R. Koehler. Boston: L. Prang and Company, 1879. Series I."
16,Arch of Constantine,image/jpeg,16.jpg,view from south,41.8897536852806,12.4905695127503,"Architecture, Sculpture, and the Industrial Arts Among the Nations of Antiquity / a series of illustrations arranged chronologically, and forming an atlas, to be used in connection with any work on the history of art. Authorized American edition, published under the supervision of S. R. Koehler. Boston: L. Prang and Company, 1879. Series I."
